date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2014-09-04,Belgium,Australia,2.0,0.0,Friendly,Liège,Belgium,False
2014-09-04,France,Spain,1.0,0.0,Friendly,Saint-Denis,France,False
2014-09-04,Uzbekistan,Jordan,2.0,0.0,Friendly,Tashkent,Uzbekistan,False
2014-09-05,Japan,Uruguay,0.0,2.0,Kirin Challenge Cup,Sapporo,Japan,False
2014-09-05,Brazil,Colombia,1.0,0.0,Friendly,Miami Gardens,United States,True
2014-09-05,Senegal,Egypt,2.0,0.0,African Cup of Nations qualification,Dakar,Senegal,False
2014-09-07,Germany,Scotland,2.0,1.0,UEFA Euro qualification,Dortmund,Germany,False
2014-09-08,Australia,Saudi Arabia,3.0,2.0,Friendly,London,England,True
2014-09-08,Austria,Sweden,1.0,1.0,UEFA Euro qualification,Vienna,Austria,False
2014-09-08,Korea Republic,Uruguay,0.0,1.0,Friendly,Goyang,South Korea,False
2014-09-08,Switzerland,England,0.0,2.0,UEFA Euro qualification,Basel,Switzerland,False
2014-09-08,Uzbekistan,New Zealand,3.0,1.0,Friendly,Tashkent,Uzbekistan,False
2014-09-09,Czechia,Netherlands,2.0,1.0,UEFA Euro qualification,Prague,Czech Republic,False
2014-09-10,Egypt,Tunisia,0.0,1.0,African Cup of Nations qualification,Cairo,Egypt,False
2014-10-06,Qatar,Uzbekistan,3.0,0.0,Friendly,Doha,Qatar,False
2014-10-10,Korea Republic,Paraguay,2.0,0.0,Friendly,Cheonan,South Korea,False
2014-10-10,Saudi Arabia,Uruguay,1.0,1.0,Friendly,Jeddah,Saudi Arabia,False
2014-10-10,Senegal,Tunisia,0.0,0.0,African Cup of Nations qualification,Dakar,Senegal,False
2014-10-10,Türkiye,Czechia,1.0,2.0,UEFA Euro qualification,Istanbul,Turkey,False
2014-10-11,Argentina,Brazil,0.0,2.0,Superclásico de las Américas,Beijing,China PR,True
2014-10-11,DR Congo,Côte d'Ivoire,1.0,2.0,African Cup of Nations qualification,Kinshasa,DR Congo,False
2014-10-11,France,Portugal,2.0,1.0,Friendly,Saint-Denis,France,False
2014-10-12,Mexico,Panama,1.0,0.0,Friendly,Querétaro,Mexico,False
2014-10-13,Bosnia and Herzegovina,Belgium,1.0,1.0,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False
2014-10-14,Japan,Brazil,0.0,4.0,Friendly,Kallang,Singapore,True
2014-10-14,Qatar,Australia,1.0,0.0,Friendly,Doha,Qatar,False
2014-10-15,Côte d'Ivoire,DR Congo,3.0,4.0,African Cup of Nations qualification,Abidjan,Ivory Coast,False
2014-10-15,Tunisia,Senegal,1.0,0.0,African Cup of Nations qualification,Monastir,Tunisia,False
2014-11-12,Argentina,Croatia,2.0,1.0,Friendly,London,England,True
2014-11-12,Netherlands,Mexico,2.0,3.0,Friendly,Amsterdam,Netherlands,False
2014-11-12,Türkiye,Brazil,0.0,4.0,Friendly,Istanbul,Turkey,False
2014-11-13,Saudi Arabia,Qatar,1.0,1.0,Gulf Cup,Riyadh,Saudi Arabia,False
2014-11-14,Jordan,Korea Republic,0.0,1.0,Friendly,Amman,Jordan,False
2014-11-14,United States,Colombia,1.0,2.0,Friendly,London,England,True
2014-11-15,Egypt,Senegal,0.0,1.0,African Cup of Nations qualification,Cairo,Egypt,False
2014-11-18,Austria,Brazil,1.0,2.0,Friendly,Vienna,Austria,False
2014-11-18,France,Sweden,1.0,0.0,Friendly,Marseille,France,False
2014-11-18,IR Iran,Korea Republic,1.0,0.0,Friendly,Tehran,Iran,False
2014-11-18,Japan,Australia,2.0,1.0,Friendly,Osaka,Japan,False
2014-11-18,Panama,Canada,0.0,0.0,Friendly,Panama City,Panama,False
2014-11-18,Portugal,Argentina,1.0,0.0,Friendly,Manchester,England,True
2014-11-18,Scotland,England,1.0,3.0,Friendly,Glasgow,Scotland,False
2014-11-18,Spain,Germany,0.0,1.0,Friendly,Vigo,Spain,False
2014-11-19,Tunisia,Egypt,2.0,1.0,African Cup of Nations qualification,Monastir,Tunisia,False
2014-11-26,Saudi Arabia,Qatar,1.0,2.0,Gulf Cup,Riyadh,Saudi Arabia,False
2014-11-30,South Africa,Côte d'Ivoire,2.0,0.0,Friendly,Nelspruit,South Africa,False
2014-12-21,Uzbekistan,Jordan,2.0,1.0,Friendly,Dubai,United Arab Emirates,True
2014-12-25,Uzbekistan,Iraq,1.0,0.0,Friendly,Sharjah,United Arab Emirates,True
2014-12-28,Uzbekistan,Iraq,0.0,0.0,Friendly,Sharjah,United Arab Emirates,True
2015-01-04,IR Iran,Iraq,1.0,0.0,Friendly,Wollongong,Australia,True
2015-01-04,Korea Republic,Saudi Arabia,2.0,0.0,Friendly,Parramatta,Australia,True
2015-01-11,Tunisia,Algeria,1.0,1.0,Friendly,Radès,Tunisia,False
2015-01-12,Jordan,Iraq,0.0,1.0,AFC Asian Cup,Brisbane,Australia,True
2015-01-15,Qatar,IR Iran,0.0,1.0,AFC Asian Cup,Sydney,Australia,True
2015-01-15,Sweden,Côte d'Ivoire,2.0,0.0,Friendly,Abu Dhabi,United Arab Emirates,True
2015-01-16,Iraq,Japan,0.0,1.0,AFC Asian Cup,Brisbane,Australia,True
2015-01-17,Australia,Korea Republic,0.0,1.0,AFC Asian Cup,Brisbane,Australia,False
2015-01-18,Tunisia,Cabo Verde,1.0,1.0,African Cup of Nations,Ebebiyín,Equatorial Guinea,True
2015-01-18,Uzbekistan,Saudi Arabia,3.0,1.0,AFC Asian Cup,Melbourne,Australia,True
2015-01-19,Algeria,South Africa,3.0,1.0,African Cup of Nations,Mongomo,Equatorial Guinea,True
2015-01-19,Ghana,Senegal,1.0,2.0,African Cup of Nations,Mongomo,Equatorial Guinea,True
2015-01-20,Japan,Jordan,2.0,0.0,AFC Asian Cup,Melbourne,Australia,True
2015-01-22,Cabo Verde,DR Congo,0.0,0.0,African Cup of Nations,Ebebiyín,Equatorial Guinea,True
2015-01-22,Korea Republic,Uzbekistan,2.0,0.0,AFC Asian Cup,Melbourne,Australia,True
2015-01-23,Ghana,Algeria,1.0,0.0,African Cup of Nations,Mongomo,Equatorial Guinea,True
2015-01-23,IR Iran,Iraq,3.0,3.0,AFC Asian Cup,Canberra,Australia,True
2015-01-23,South Africa,Senegal,1.0,1.0,African Cup of Nations,Mongomo,Equatorial Guinea,True
2015-01-26,DR Congo,Tunisia,1.0,1.0,African Cup of Nations,Bata,Equatorial Guinea,True
2015-01-26,Korea Republic,Iraq,2.0,0.0,AFC Asian Cup,Sydney,Australia,True
2015-01-27,Senegal,Algeria,0.0,2.0,African Cup of Nations,Malabo,Equatorial Guinea,True
2015-01-27,South Africa,Ghana,1.0,2.0,African Cup of Nations,Mongomo,Equatorial Guinea,True
2015-01-31,Australia,Korea Republic,2.0,1.0,AFC Asian Cup,Sydney,Australia,False
2015-02-01,Côte d'Ivoire,Algeria,3.0,1.0,African Cup of Nations,Malabo,Equatorial Guinea,True
2015-02-04,DR Congo,Côte d'Ivoire,1.0,3.0,African Cup of Nations,Bata,Equatorial Guinea,True
2015-02-08,Côte d'Ivoire,Ghana,0.0,0.0,African Cup of Nations,Bata,Equatorial Guinea,True
2015-02-08,United States,Panama,2.0,0.0,Friendly,Carson,United States,False
2015-03-25,Germany,Australia,2.0,2.0,Friendly,Kaiserslautern,Germany,False
2015-03-26,France,Brazil,1.0,3.0,Friendly,Saint-Denis,France,False
2015-03-26,Qatar,Algeria,1.0,0.0,Friendly,Doha,Qatar,False
2015-03-27,Japan,Tunisia,2.0,0.0,Kirin Challenge Cup,Ōita,Japan,False
2015-03-27,Korea Republic,Uzbekistan,1.0,1.0,Friendly,Daejeon,South Korea,False
2015-03-28,Croatia,Norway,5.0,1.0,UEFA Euro qualification,Zagreb,Croatia,False
2015-03-28,Ghana,Senegal,1.0,2.0,Friendly,Le Havre,France,True
2015-03-28,Iraq,DR Congo,2.0,1.0,Friendly,Sharjah,United Arab Emirates,True
2015-03-28,Morocco,Uruguay,0.0,1.0,Friendly,Agadir,Morocco,False
2015-03-28,Netherlands,Türkiye,1.0,1.0,UEFA Euro qualification,Amsterdam,Netherlands,False
2015-03-30,Saudi Arabia,Jordan,2.0,1.0,Friendly,Dammam,Saudi Arabia,False
2015-03-31,Argentina,Ecuador,2.0,1.0,Friendly,East Rutherford,United States,True
2015-03-31,Austria,Bosnia and Herzegovina,1.0,1.0,Friendly,Vienna,Austria,False
2015-03-31,Iraq,DR Congo,1.0,0.0,Friendly,Sharjah,United Arab Emirates,True
2015-03-31,Japan,Uzbekistan,5.0,1.0,Friendly,Chōfu,Japan,False
2015-03-31,Korea Republic,New Zealand,1.0,0.0,Friendly,Seoul,South Korea,False
2015-03-31,Netherlands,Spain,2.0,0.0,Friendly,Amsterdam,Netherlands,False
2015-03-31,Portugal,Cabo Verde,0.0,2.0,Friendly,Estoril,Portugal,False
2015-03-31,Sweden,IR Iran,3.0,1.0,Friendly,Solna,Sweden,False
2015-03-31,Switzerland,United States,1.0,1.0,Friendly,Zürich,Switzerland,False
2015-04-15,United States,Mexico,2.0,0.0,Friendly,San Antonio,United States,False
2015-06-03,Panama,Ecuador,1.0,1.0,Friendly,Panama City,Panama,False
2015-06-05,Netherlands,United States,3.0,4.0,Friendly,Amsterdam,Netherlands,False
2015-06-05,Scotland,Qatar,1.0,0.0,Friendly,Edinburgh,Scotland,False
2015-06-06,Ecuador,Panama,4.0,0.0,Friendly,Portoviejo,Ecuador,False
2015-06-07,Brazil,Mexico,2.0,0.0,Friendly,São Paulo,Brazil,False
2015-06-07,France,Belgium,3.0,4.0,Friendly,Saint-Denis,France,False
2015-06-08,Norway,Sweden,0.0,0.0,Friendly,Oslo,Norway,False
2015-06-10,Germany,United States,1.0,2.0,Friendly,Cologne,Germany,False
2015-06-11,Japan,Iraq,4.0,0.0,Kirin Challenge Cup,Yokohama,Japan,False
2015-06-11,Uzbekistan,IR Iran,0.0,1.0,Friendly,Tashkent,Uzbekistan,False
2015-06-13,Argentina,Paraguay,2.0,2.0,Copa América,La Serena,Chile,True
2015-06-16,Argentina,Uruguay,1.0,0.0,Copa América,La Serena,Chile,True
2015-06-17,Brazil,Colombia,0.0,1.0,Copa América,Santiago,Chile,True
2015-06-19,Mexico,Ecuador,1.0,2.0,Copa América,Rancagua,Chile,True
2015-06-20,Uruguay,Paraguay,1.0,1.0,Copa América,La Serena,Chile,True
2015-06-26,Argentina,Colombia,0.0,0.0,Copa América,Viña del Mar,Chile,True
2015-06-27,Brazil,Paraguay,1.0,1.0,Copa América,Concepción,Chile,True
2015-06-30,Argentina,Paraguay,6.0,1.0,Copa América,Concepción,Chile,True
2015-07-07,Panama,Haiti,1.0,1.0,Gold Cup,Frisco,United States,True
2015-07-10,United States,Haiti,1.0,0.0,Gold Cup,Foxborough,United States,False
2015-07-13,United States,Panama,1.0,1.0,Gold Cup,Kansas City,United States,False
2015-07-22,Panama,Mexico,1.0,2.0,Gold Cup,Atlanta,United States,True
2015-07-25,United States,Panama,1.0,1.0,Gold Cup,Chester,United States,False
2015-08-05,Japan,Korea Republic,1.0,1.0,EAFF Championship,Wuhan,China PR,True
2015-09-03,Belgium,Bosnia and Herzegovina,3.0,1.0,UEFA Euro qualification,Brussels,Belgium,False
2015-09-04,Portugal,France,0.0,1.0,Friendly,Lisbon,Portugal,False
2015-09-06,Norway,Croatia,2.0,0.0,UEFA Euro qualification,Oslo,Norway,False
2015-09-06,Türkiye,Netherlands,3.0,0.0,UEFA Euro qualification,Konya,Turkey,False
2015-09-07,Scotland,Germany,2.0,3.0,UEFA Euro qualification,Glasgow,Scotland,False
2015-09-08,United States,Brazil,1.0,4.0,Friendly,Foxborough,United States,False
2015-09-08,England,Switzerland,2.0,0.0,UEFA Euro qualification,London,England,False
2015-09-08,Mexico,Argentina,2.0,2.0,Friendly,Arlington,United States,True
2015-09-08,South Africa,Senegal,1.0,0.0,Friendly,Johannesburg,South Africa,False
2015-09-08,Sweden,Austria,1.0,4.0,UEFA Euro qualification,Solna,Sweden,False
2015-10-03,Jordan,Iraq,3.0,0.0,Friendly,Amman,Jordan,False
2015-10-08,Argentina,Ecuador,0.0,2.0,FIFA World Cup qualification,Buenos Aires,Argentina,False
2015-10-08,Jordan,Australia,2.0,0.0,FIFA World Cup qualification,Amman,Jordan,False
2015-10-09,Morocco,Côte d'Ivoire,0.0,1.0,Friendly,Agadir,Morocco,False
2015-10-10,Czechia,Türkiye,0.0,2.0,UEFA Euro qualification,Prague,Czech Republic,False
2015-10-10,United States,Mexico,2.0,3.0,Friendly,Pasadena,United States,False
2015-10-13,Algeria,Senegal,1.0,0.0,Friendly,Algiers,Algeria,False
2015-10-13,IR Iran,Japan,1.0,1.0,Friendly,Tehran,Iran,False
2015-10-13,Netherlands,Czechia,2.0,3.0,UEFA Euro qualification,Amsterdam,Netherlands,False
2015-10-13,Paraguay,Argentina,0.0,0.0,FIFA World Cup qualification,Asunción,Paraguay,False
2015-10-13,Uruguay,Colombia,3.0,0.0,FIFA World Cup qualification,Montevideo,Uruguay,False
2015-11-12,Ecuador,Uruguay,2.0,1.0,FIFA World Cup qualification,Quito,Ecuador,False
2015-11-13,Argentina,Brazil,1.0,1.0,FIFA World Cup qualification,Buenos Aires,Argentina,False
2015-11-13,France,Germany,2.0,0.0,Friendly,Saint-Denis,France,False
2015-11-13,Qatar,Türkiye,1.0,2.0,Friendly,Doha,Qatar,False
2015-11-13,Spain,England,2.0,0.0,Friendly,Alicante,Spain,False
2015-11-17,Austria,Switzerland,1.0,2.0,Friendly,Vienna,Austria,False
2015-11-17,Colombia,Argentina,0.0,1.0,FIFA World Cup qualification,Barranquilla,Colombia,False
2015-11-17,England,France,2.0,0.0,Friendly,London,England,False
2016-01-27,Egypt,Jordan,0.0,1.0,Friendly,Aswan,Egypt,False
2016-03-24,Czechia,Scotland,0.0,1.0,Friendly,Prague,Czech Republic,False
2016-03-24,Ecuador,Paraguay,2.0,2.0,FIFA World Cup qualification,Quito,Ecuador,False
2016-03-24,Türkiye,Sweden,2.0,1.0,Friendly,Antalya,Turkey,False
2016-03-25,Brazil,Uruguay,2.0,2.0,FIFA World Cup qualification,Recife,Brazil,False
2016-03-25,Canada,Mexico,0.0,3.0,FIFA World Cup qualification,Vancouver,Canada,False
2016-03-25,Haiti,Panama,0.0,0.0,FIFA World Cup qualification,Port-au-Prince,Haiti,False
2016-03-25,Netherlands,France,2.0,3.0,Friendly,Amsterdam,Netherlands,False
2016-03-26,Cabo Verde,Morocco,0.0,1.0,African Cup of Nations qualification,Praia,Cape Verde,False
2016-03-26,Germany,England,2.0,3.0,Friendly,Berlin,Germany,False
2016-03-29,Australia,Jordan,5.0,1.0,FIFA World Cup qualification,Sydney,Australia,False
2016-03-29,Austria,Türkiye,1.0,2.0,Friendly,Vienna,Austria,False
2016-03-29,Colombia,Ecuador,3.0,1.0,FIFA World Cup qualification,Barranquilla,Colombia,False
2016-03-29,England,Netherlands,1.0,2.0,Friendly,London,England,False
2016-03-29,Mexico,Canada,2.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,False
2016-03-29,Morocco,Cabo Verde,2.0,0.0,African Cup of Nations qualification,Marrakech,Morocco,False
2016-03-29,Panama,Haiti,1.0,0.0,FIFA World Cup qualification,Panama City,Panama,False
2016-03-29,Paraguay,Brazil,2.0,2.0,FIFA World Cup qualification,Asunción,Paraguay,False
2016-03-29,Portugal,Belgium,2.0,1.0,Friendly,Leiria,Portugal,False
2016-03-29,Sweden,Czechia,1.0,1.0,Friendly,Solna,Sweden,False
2016-03-29,Switzerland,Bosnia and Herzegovina,0.0,2.0,Friendly,Zürich,Switzerland,False
2016-05-22,England,Türkiye,2.0,1.0,Friendly,Manchester,England,False
2016-05-27,England,Australia,2.0,1.0,Friendly,Sunderland,England,False
2016-05-28,Mexico,Paraguay,1.0,0.0,Friendly,Atlanta,United States,True
2016-05-28,Switzerland,Belgium,1.0,2.0,Friendly,Geneva,Switzerland,False
2016-05-29,Bosnia and Herzegovina,Spain,1.0,3.0,Friendly,St. Gallen,Switzerland,True
2016-05-29,Portugal,Norway,3.0,0.0,Friendly,Porto,Portugal,False
2016-06-01,Spain,Korea Republic,6.0,1.0,Friendly,Salzburg,Austria,True
2016-06-02,England,Portugal,1.0,0.0,Friendly,London,England,False
2016-06-03,United States,Colombia,0.0,2.0,Copa América,Santa Clara,United States,False
2016-06-04,Austria,Netherlands,0.0,2.0,Friendly,Vienna,Austria,False
2016-06-04,Brazil,Ecuador,0.0,0.0,Copa América,Pasadena,United States,True
2016-06-04,France,Scotland,3.0,0.0,Friendly,Metz,France,False
2016-06-05,Belgium,Norway,3.0,2.0,Friendly,Brussels,Belgium,False
2016-06-05,Czechia,Korea Republic,1.0,2.0,Friendly,Prague,Czech Republic,False
2016-06-05,Mexico,Uruguay,3.0,1.0,Copa América,Glendale,United States,True
2016-06-07,Canada,Uzbekistan,2.0,1.0,Friendly,Bad Waltersdorf,Austria,True
2016-06-07,Colombia,Paraguay,2.0,1.0,Copa América,Pasadena,United States,True
2016-06-07,Japan,Bosnia and Herzegovina,1.0,2.0,Kirin Cup,Suita,Japan,False
2016-06-08,Brazil,Haiti,7.0,1.0,Copa América,Orlando,United States,True
2016-06-10,Argentina,Panama,5.0,0.0,Copa América,Chicago,United States,True
2016-06-11,United States,Paraguay,1.0,0.0,Copa América,Philadelphia,United States,False
2016-06-12,Ecuador,Haiti,4.0,0.0,Copa América,East Rutherford,United States,True
2016-06-12,Türkiye,Croatia,0.0,1.0,UEFA Euro,Paris,France,True
2016-06-13,Spain,Czechia,1.0,0.0,UEFA Euro,Toulouse,France,True
2016-06-16,United States,Ecuador,2.0,1.0,Copa América,Seattle,United States,False
2016-06-17,Czechia,Croatia,2.0,2.0,UEFA Euro,Saint-Étienne,France,True
2016-06-17,Spain,Türkiye,3.0,0.0,UEFA Euro,Nice,France,True
2016-06-18,Portugal,Austria,0.0,0.0,UEFA Euro,Lyon,France,True
2016-06-19,France,Switzerland,0.0,0.0,UEFA Euro,Villeneuve-d'Ascq,France,False
2016-06-21,Croatia,Spain,2.0,1.0,UEFA Euro,Bordeaux,France,True
2016-06-21,Czechia,Türkiye,0.0,2.0,UEFA Euro,Lens,France,True
2016-06-21,United States,Argentina,0.0,4.0,Copa América,Houston,United States,False
2016-06-22,Sweden,Belgium,0.0,1.0,UEFA Euro,Nice,France,True
2016-06-25,Croatia,Portugal,0.0,1.0,UEFA Euro,Lens,France,True
2016-06-25,United States,Colombia,0.0,1.0,Copa América,Glendale,United States,False
2016-07-07,France,Germany,2.0,0.0,UEFA Euro,Marseille,France,False
2016-07-10,France,Portugal,0.0,1.0,UEFA Euro,Saint-Denis,France,False
2016-07-24,Uzbekistan,Iraq,2.0,1.0,Friendly,Tashkent,Uzbekistan,False
2016-08-08,Qatar,Iraq,2.0,1.0,Friendly,Doha,Qatar,False
2016-08-18,Jordan,Qatar,2.0,3.0,Friendly,Lucerne,Switzerland,True
2016-09-01,Argentina,Uruguay,1.0,0.0,FIFA World Cup qualification,Mendoza,Argentina,False
2016-09-01,Australia,Iraq,2.0,0.0,FIFA World Cup qualification,Perth,Australia,False
2016-09-01,Belgium,Spain,0.0,2.0,Friendly,Brussels,Belgium,False
2016-09-01,Ecuador,Brazil,0.0,3.0,FIFA World Cup qualification,Quito,Ecuador,False
2016-09-01,IR Iran,Qatar,2.0,0.0,FIFA World Cup qualification,Tehran,Iran,False
2016-09-04,Norway,Germany,0.0,3.0,FIFA World Cup qualification,Oslo,Norway,False
2016-09-05,Croatia,Türkiye,1.0,1.0,FIFA World Cup qualification,Zagreb,Croatia,False
2016-09-06,Brazil,Colombia,2.0,1.0,FIFA World Cup qualification,Manaus,Brazil,False
2016-09-06,Iraq,Saudi Arabia,1.0,2.0,FIFA World Cup qualification,Shah Alam,Malaysia,True
2016-09-06,Qatar,Uzbekistan,0.0,1.0,FIFA World Cup qualification,Doha,Qatar,False
2016-09-06,South Africa,Egypt,1.0,0.0,Friendly,Johannesburg,South Africa,False
2016-09-06,Sweden,Netherlands,1.0,1.0,FIFA World Cup qualification,Solna,Sweden,False
2016-09-06,Switzerland,Portugal,2.0,0.0,FIFA World Cup qualification,Basel,Switzerland,False
2016-09-06,Uruguay,Paraguay,4.0,0.0,FIFA World Cup qualification,Montevideo,Uruguay,False
2016-10-06,Japan,Iraq,2.0,1.0,FIFA World Cup qualification,Saitama,Japan,False
2016-10-06,Korea Republic,Qatar,3.0,2.0,FIFA World Cup qualification,Suwon,South Korea,False
2016-10-06,Paraguay,Colombia,0.0,1.0,FIFA World Cup qualification,Asunción,Paraguay,False
2016-10-06,Saudi Arabia,Australia,2.0,2.0,FIFA World Cup qualification,Jeddah,Saudi Arabia,False
2016-10-06,Uzbekistan,IR Iran,0.0,1.0,FIFA World Cup qualification,Tashkent,Uzbekistan,False
